Number_of_Pitches,Number_of_Pitch_Classes,Number_of_Common_Pitches,Number_of_Common_Pitch_Classes,Range,Mean_Pitch,Repeated_Notes,Chromatic_Motion,Stepwise_Motion,Average_Number_of_Simultaneous_Pitch_Classes,Average_Number_of_Simultaneous_Pitches,Vertical_Minor_Seconds,Vertical_Thirds,Vertical_Tritones,Vertical_Perfect_Fourths,Vertical_Perfect_Fifths,Vertical_Sixths,Vertical_Sevenths,Vertical_Octaves,Vertical_Minor_Third_Prevalence,Vertical_Major_Third_Prevalence,Chord_Duration,Initial_Tempo,Mean_Tempo,Tempo_Variability,Duration_in_Seconds,Note_Density,Note_Density_Variability,Average_Time_Between_Attacks,Average_Variability_of_Time_Between_Attacks_for_Each_Voice,Minimum_Note_Duration,Maximum_Note_Duration,Average_Note_Duration,Amount_of_Staccato,Unpitched_Percussion_Instrument_Prevalence,Acoustic_Guitar_Prevalence,Electric_Guitar_Prevalence,Violin_Prevalence,Dynamic_Range,Average_Note_to_Note_Change_in_Dynamics
12,4,4,4,33,81,0,0,0.2553,1,1,0,0,0,0,0,0,0,0,0,0,0.1636,130,130,1.63E-11,3.691,13,0,0.07644,7.01E-17,0.07596,0.07596,0.07596,1,0,0,0,0,31,0.6458
49,12,0,2,53,74,0,0,0.04211,1,1,0,0,0,0,0,0,0,0,0,0,0.1636,130,130,2.46E-11,7.384,13,0.1359,0.07644,1.26E-16,0.07596,0.07596,0.07596,1,0,0,0,0,0,0
29,9,0,0,47,74,0,0.0119,0.0119,1,1,0,0,0,0,0,0,0,0,0,0,0.1675,130,130,1.98E-11,6.691,12.7,0.97,0.07644,1.12E-16,0.07596,0.2298,0.07777,0.9882,0,0,0,0,0,0
46,12,0,2,53,74,0,0,0.04211,1,1,0,0,0,0,0,0,0,0,0,0,0.1653,130,130,2.46E-11,7.384,13,0.1359,0.07644,1.26E-16,0.07596,0.07596,0.07596,1,0,0,0,0,16,0.1667
30,9,0,1,46,78,0.1064,0.08511,0.08511,1,1,0,0,0,0,0,0,0,0,0,0,0.2184,130,130,1.63E-11,3.691,13,0,0.07644,7.01E-17,0.07596,0.07596,0.07596,1,0,0,0,0,12,0.25
10,3,7,3,37,86,0.08511,0.04255,0.04255,1,1,0,0,0,0,0,0,0,0,0,0,0.2184,130,130,1.63E-11,3.691,13,0,0.07644,7.01E-17,0.07596,0.07596,0.07596,1,0,0,0,0,58,1.25
4,4,4,4,7,96,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.1636,130,130,1.63E-11,3.691,13,0,0.07644,7.01E-17,0.07596,0.07596,0.07596,1,0,0,0,0,42,0.875
23,7,0,3,42,78,0,0.02703,0.02703,1.63,1.882,0,0.125,0.0625,0.1875,0.125,0.125,0.0625,0.125,0.126,0.126,0.2074,130,130,1.63E-11,3.691,12.19,0,0.08684,0.06323,0.07596,0.4606,0.1529,0.8,0,0,0,0,19,0.4222
50,12,0,2,53,66,0,0,0.08421,1,1,0,0,0,0,0,0,0,0,0,0,0.1636,130,130,2.46E-11,7.384,13,0.1359,0.07644,1.26E-16,0.07596,0.07596,0.07596,1,0,0,0,0,0,0
8,6,4,1,24,61,0,0,0,2.883,3.824,0,0.2916,0,0.1667,0.1667,0.125,0.04169,0.1667,0.9413,0.7059,1.413,130,130,1.17E-11,4.154,6.981,0,0.527,0.2969,0.1144,0.9221,0.5164,0,0,0,0,0,15,0.5172
29,7,0,1,48,68,0,0.2857,1,2.467,3.172,0.02794,0.2566,0.01116,0.1423,0.1537,0.142,0.05578,0.1715,0.4607,0.4925,0.08793,130,130,8.93E-12,1.614,20.44,0,0.04897,0.001123,0.04808,0.6894,0.1539,0.697,0,0,0,0,1,0.0303
