Number_of_Pitches,Number_of_Pitch_Classes,Number_of_Common_Pitches,Number_of_Common_Pitch_Classes,Range,Mean_Pitch,Repeated_Notes,Chromatic_Motion,Stepwise_Motion,Average_Number_of_Simultaneous_Pitch_Classes,Average_Number_of_Simultaneous_Pitches,Vertical_Minor_Seconds,Vertical_Thirds,Vertical_Tritones,Vertical_Perfect_Fourths,Vertical_Perfect_Fifths,Vertical_Sixths,Vertical_Sevenths,Vertical_Octaves,Vertical_Minor_Third_Prevalence,Vertical_Major_Third_Prevalence,Chord_Duration,Initial_Tempo,Mean_Tempo,Tempo_Variability,Duration_in_Seconds,Note_Density,Note_Density_Variability,Average_Time_Between_Attacks,Average_Variability_of_Time_Between_Attacks_for_Each_Voice,Minimum_Note_Duration,Maximum_Note_Duration,Average_Note_Duration,Amount_of_Staccato,Unpitched_Percussion_Instrument_Prevalence,Acoustic_Guitar_Prevalence,Electric_Guitar_Prevalence,Violin_Prevalence,Dynamic_Range,Average_Note_to_Note_Change_in_Dynamics
13,4,7,4,36,52,0,0,0,1.107,1.107,0,0.2729,0.4541,0,0,0.2729,0,0,0.04013,0,0.1615,130,130,8.24E-12,2.884,13.52,0,0.07644,2.82E-17,0,0.2683,0.08092,0.9231,0,0,0,0,0,0
4,4,4,4,6,62,0,0,0.2581,1,1,0,0,0,0,0,0,0,0,0,0,0.1844,130,130,1.63E-11,3.691,8.669,0,0.1161,0.1537,0.07596,0.2298,0.08558,0.9375,0,0,0,0,8,0.25
27,12,3,1,26,46,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.1636,130,130,1.63E-11,3.691,13,0,0.07644,7.01E-17,0.07596,0.07596,0.07596,1,0,0,0,0,31,0.6458
9,4,6,2,32,53,0,0,0,2.333,2.333,0,0.4444,0,0.07407,0.3704,0.1111,0,0,0.4667,0.3333,1.246,130,130,2.46E-11,7.384,4.876,1.431,0.4303,0.1823,0,1.384,0.4478,0.02778,0,0,0,0,31,1.75
22,11,2,0,41,55,0,0,0,1.733,2.227,0,0.1237,0.04949,0.03286,0.06592,0.2716,0.06592,0.3246,0.0801,0.1201,0.5923,130,130,1.98E-11,6.691,6.725,2.584,0.3072,0.1562,0.1144,0.4606,0.2845,0,0,0,0,0,19,1.689
12,5,4,3,34,54,0.0625,0.125,0.125,2.266,2.266,0,0.4746,0,0.113,0.1978,0.1807,0.0339,0,0.4666,0.3333,0.9347,130,130,2.46E-11,7.384,4.605,2.024,0.4322,0.1763,0.1144,1.845,0.4606,0,0,0,0,0,16,0.4706
16,9,4,1,32,53,0,0.3125,0.3125,1.545,1.77,0,0.1755,0.101,0.1823,0,0.3359,0,0.2053,0.1024,0.1024,0.435,130,130,1.63E-11,3.691,5.418,0,0.2014,0.1484,0.1529,0.4606,0.285,0,0,0,0,0,19,4.4
7,3,3,1,38,55,0,0,0,1.271,2.136,0,0,0,0,0.2228,0,0,0.6658,0,0,1.471,130,130,1.63E-11,3.691,4.605,0,0.3951,0.1308,0.05673,0.9221,0.4266,0.1176,0,0,0,0,20,3.941
15,4,0,4,42,62,0,0,0.1277,1,1,0,0,0,0,0,0,0,0,0,0,0.1636,130,130,1.63E-11,3.691,13,0,0.07644,7.01E-17,0.07596,0.07596,0.07596,1,0,0,0,0,42,0.875
20,6,4,3,58,65,0,0,0,1.128,1.45,0,0.2077,0,0.1038,0.1038,0.1038,0,0.4808,0.06416,0.06416,0.2272,130,130,1.63E-11,3.691,10.84,0,0.09454,0.07589,0.07596,0.4606,0.1298,0.8,0,0,0,0,31,1.25
15,12,3,2,20,40,0,0.1864,0.1864,1,1,0,0,0,0,0,0,0,0,0,0,0.2382,130,130,2.42E-11,7.307,8.212,1.01,0.1221,0.01511,0.07596,0.1144,0.1067,0.2,0,0,0,0,15,3.25
5,4,3,2,12,39,0.1429,0,0,1.941,2.883,0,0.08338,0,0.25,0.25,0.08338,0,0.3333,0,0.2355,1.413,130,130,1.17E-11,4.154,5.296,0,0.527,0.2969,0.1144,0.9221,0.5132,0,0,0,0,0,15,0.6818
29,7,0,0,48,56,0,0.2857,1,2.763,4.451,0,0.1779,0.005696,0.1754,0.1988,0.09865,0.04272,0.2467,0.4285,0.3975,0.08862,130,130,8.93E-12,1.614,18.58,0,0.04897,0.001123,0.04808,1.384,0.2394,0.7,0,0,0,0,1,0.03333
