Number_of_Pitches,Number_of_Pitch_Classes,Number_of_Common_Pitches,Number_of_Common_Pitch_Classes,Range,Repeated_Notes,Chromatic_Motion,Stepwise_Motion,Average_Number_of_Simultaneous_Pitch_Classes,Average_Number_of_Simultaneous_Pitches,Vertical_Minor_Third_Prevalence,Vertical_Major_Third_Prevalence,Chord_Duration,Initial_Tempo,Mean_Tempo,Tempo_Variability,Duration_in_Seconds,Note_Density,Note_Density_Variability,Average_Time_Between_Attacks,Average_Variability_of_Time_Between_Attacks_for_Each_Voice,Minimum_Note_Duration,Maximum_Note_Duration,Average_Note_Duration,Amount_of_Staccato,Unpitched_Percussion_Instrument_Prevalence,Acoustic_Guitar_Prevalence,Electric_Guitar_Prevalence,Violin_Prevalence,Dynamic_Range,Average_Note_to_Note_Change_in_Dynamics
18,7,2,3,58,0.03871,0.07742,0.271,1.88,3.204,0.2188,0.1044,0.4057,150,150,0,19.2,8.542,1.084,0.1365,0.01664,0.05,3.2,0.4513,0.03049,0,0,0,0,48,0.09756
30,9,1,1,57,0.07412,0.0531,0.1283,3.867,7.305,0.6094,0.508,0.1524,150,150,0,25.6,47.03,20.18,0.09881,0.02721,0.05,3.208,0.2503,0.3397,0,0,0,0,39,0.02243
38,10,1,0,60,0.1112,0.06611,0.1448,4.607,9.351,0.8452,0.7148,0.1344,150,150,0,51.2,44.98,4.612,0.08431,0.3661,0.025,3.2,0.3196,0.551,0,0.002605,0,0.05254,70,0.9792
10,8,5,3,16,0.06299,0.315,0.5039,1.25,1.25,0.01637,0.1488,0.5112,150,150,0,19.2,6.927,0.5264,0.1444,0.1388,0.05,1.2,0.2353,0.6692,0,0,0,0,35,1.526
40,10,0,0,55,0.0401,0.06292,0.2307,3.622,6.126,0.5534,0.5768,0.1185,150,150,0,38.4,53.99,8.657,0.1012,0.1405,0.05,1.2,0.192,0.6995,0,0,0,0,56,0.7062
